Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1BpKJw4RZxaFB88NE5uxXf,"ILoveUIHateU","Whole Lotta Red","Playboi Carti",2020-12-25,135122,77,true,,1970-01-01T00:00:00Z,"rage rap","AWGE/Interscope Records",0.684,0.693,4,-6.651,0,0.0339,0.00534,0,0.506,0.108,134.988,4
spotify:track:7ejepEh5DJ79YI6owGRfkk,"New N3on","Whole Lotta Red","Playboi Carti",2020-12-25,116360,66,true,,1970-01-01T00:00:00Z,"rage rap","AWGE/Interscope Records",0.888,0.833,6,-6.546,0,0.0737,0.0631,0,0.106,0.948,130.054,4
spotify:track:4CzhtKifG867Lu5DNQVBSA,"Vamp Anthem","Whole Lotta Red","Playboi Carti",2020-12-25,124093,71,true,,1970-01-01T00:00:00Z,"rage rap","AWGE/Interscope Records",0.642,0.69,11,-5.101,1,0.261,0.00599,0.0000013,0.322,0.641,164.075,4
spotify:track:29TPjc8wxfz4XMn21O7VsZ,"Sky","Whole Lotta Red","Playboi Carti",2020-12-25,193234,80,true,,1970-01-01T00:00:00Z,"rage rap","AWGE/Interscope Records",0.785,0.903,2,-4.184,1,0.21,0.258,0,0.169,0.565,139.98,4
spotify:track:4CYTQpr2jc4uBScYvpEK2w,"Beno!","Whole Lotta Red","Playboi Carti",2020-12-25,153333,61,true,,1970-01-01T00:00:00Z,"rage rap","AWGE/Interscope Records",0.923,0.562,1,-7.357,1,0.304,0.0213,0,0.0726,0.499,144.067,4
spotify:track:2SLwbpExuoBDZBpjfefCtV,"Out of Time","Dawn FM","The Weeknd",2022-01-06,214193,78,false,,1970-01-01T00:00:00Z,"","XO / Republic Records",0.65,0.76,0,-4.422,0,0.0446,0.255,0,0.339,0.838,93.057,4
spotify:track:7newfXclX39UwWTw2gDswM,"Tread Carefully","Ctrl (Deluxe)","SZA",2022-06-09,182068,58,true,,1970-01-01T00:00:00Z,"r&b","Top Dawg Entertainment/RCA Records",0.505,0.249,1,-14.879,0,0.139,0.115,0,0.155,0.207,115.815,4
spotify:track:5Y6nVaayzitvsD5F7nr3DV,"West Coast","Ultraviolence (Deluxe)","Lana Del Rey",2014-01-01,256760,84,false,,1970-01-01T00:00:00Z,"","Polydor Records",0.527,0.591,6,-7.664,0,0.0396,0.194,0.0194,0.0907,0.461,123.167,4
spotify:track:03rcC8SVxCa9UdY5qgkITe,"Not PLaying","Whole Lotta Red","Playboi Carti",2020-12-25,130304,62,true,,1970-01-01T00:00:00Z,"rage rap","AWGE/Interscope Records",0.815,0.762,2,-5.045,1,0.219,0.00821,0,0.337,0.317,140.092,4
spotify:track:1E5Xu8dur0fAjSP1VpVhAZ,"Best Friends","Dawn FM","The Weeknd",2022-01-06,163504,63,false,,1970-01-01T00:00:00Z,"","XO / Republic Records",0.737,0.564,4,-7.045,0,0.105,0.436,0,0.351,0.528,90,4
spotify:track:08SB2OtZkaliju77WYEKxk,"No Love (with SZA)","Still Over It","Summer Walker;SZA",2021-11-05,231497,72,true,,1970-01-01T00:00:00Z,"r&b","LVRN/Interscope Records",0.707,0.618,1,-5.825,0,0.19,0.17,0,0.293,0.517,133.876,4
spotify:track:5M3KOe4FGUidvRDUbFFdFk,"Açaí Bowl","Açaí Bowl","Dominic Fike",2019-06-07,177400,58,true,,1970-01-01T00:00:00Z,"","Columbia",0.687,0.439,2,-8.347,1,0.0426,0.502,0.000367,0.109,0.352,91.972,4
spotify:track:2lLG56qpLP3UbcLuzMvkWX,"Stop Breathing","Whole Lotta Red","Playboi Carti",2020-12-25,218943,69,true,,1970-01-01T00:00:00Z,"rage rap","AWGE/Interscope Records",0.856,0.57,9,-4.486,1,0.286,0.00637,0,0.0984,0.155,154.967,4
spotify:track:5RJot1fR8C90lLXzHtUqpo,"Wild At Heart","Chemtrails Over The Country Club","Lana Del Rey",2021-03-19,246609,59,false,,1970-01-01T00:00:00Z,"","Polydor Records",0.397,0.206,2,-12.487,1,0.0389,0.947,0.0000135,0.119,0.27,120.702,1
